branch_id,branch_name,date,total_deposits,total_loans,new_accounts,closed_accounts,net_profit,operating_expenses
003,Victoria Island Branch,2024-03-10,2498700000,1567800000,51,12,19876000,10567000
004,Abuja Central Branch,2024-03-10,1467800000,887900000,44,10,12345000,6789000
005,Port Harcourt Main,2024-03-10,1018200000,666700000,32,8,10345000,4987000
006,Kano Central Branch,2024-03-10,786700000,522300000,31,7,9456000,3987000
007,Onitsha Main Branch,2024-03-10,334500000,228900000,22,4,4123000,2012000
008,Enugu Main Branch,2024-03-10,373400000,243400000,20,3,4789000,2234000
009,Benin City Branch,2024-03-10,365600000,232300000,18,2,4567000,2123000
010,Ibadan Main Branch,2024-03-10,401200000,269800000,24,4,5890000,2456000
011,Abeokuta Branch,2024-03-10,309800000,194500000,15,2,4123000,1567000
012,Uyo Main Branch,2024-03-10,267800000,156700000,14,3,3890000,1876000
013,Jos Central Branch,2024-03-10,256700000,145600000,13,2,3789000,1765000
014,Kaduna Branch,2024-03-10,245600000,134500000,12,2,3678000,1654000
001,Lagos Island Branch,2024-03-11,1893200000,1056700000,82,24,28987000,10789000
002,Ikeja GRA Branch,2024-03-11,1234500000,756800000,78,26,24567000,8234000
003,Victoria Island Branch,2024-03-11,2567800000,1623400000,108,31,42345000,15678000
004,Abuja Central Branch,2024-03-11,1523400000,923400000,91,28,26789000,9456000
005,Port Harcourt Main,2024-03-11,1056700000,689000000,75,27,20123000,7123000
006,Kano Central Branch,2024-03-11,823400000,545600000,69,26,17895000,6234000
007,Onitsha Main Branch,2024-03-11,345600000,236700000,37,11,6234000,2897000
008,Enugu Main Branch,2024-03-11,385600000,252300000,35,9,6890000,3123000
009,Benin City Branch,2024-03-11,378900000,241200000,32,7,6456000,3012000
010,Ibadan Main Branch,2024-03-11,412300000,278900000,38,9,7345000,3567000
011,Abeokuta Branch,2024-03-11,320100000,203400000,25,6,5234000,2456000
012,Uyo Main Branch,2024-03-11,278900000,165400000,23,5,4567000,2234000
013,Jos Central Branch,2024-03-11,267800000,154300000,22,4,4456000,2123000
014,Kaduna Branch,2024-03-11,256700000,143200000,21,4,4345000,2012000
015,Maiduguri Branch,2024-03-11,189000000,98760000,16,3,3123000,1456000
001,Lagos Island Branch,2024-03-12,1956700000,1091200000,88,27,30123000,11234000
002,Ikeja GRA Branch,2024-03-12,1289400000,783400000,84,29,25987000,8567000
003,Victoria Island Branch,2024-03-12,2634500000,1678900000,115,34,44567000,16789000
004,Abuja Central Branch,2024-03-12,1589500000,959800000,97,31,28987000,9890000
005,Port Harcourt Main,2024-03-12,1091200000,712300000,81,30,22345000,7456000
006,Kano Central Branch,2024-03-12,856700000,567800000,75,29,19234000,6789000
007,Onitsha Main Branch,2024-03-12,356700000,245600000,41,13,6789000,3123000
008,Enugu Main Branch,2024-03-12,397800000,261200000,39,11,7345000,3345000
009,Benin City Branch,2024-03-12,391200000,250100000,36,9,6890000,3234000
010,Ibadan Main Branch,2024-03-12,423400000,287600000,42,11,7890000,3789000
011,Abeokuta Branch,2024-03-12,331200000,212300000,29,8,5678000,2678000
012,Uyo Main Branch,2024-03-12,289700000,174500000,27,7,4890000,2456000
013,Jos Central Branch,2024-03-12,278900000,163400000,26,6,4789000,2345000
014,Kaduna Branch,2024-03-12,267800000,152300000,25,6,4678000,2234000
015,Maiduguri Branch,2024-03-12,198700000,105670000,20,5,3456000,1678000
016,Sokoto Branch,2024-03-12,176500000,92340000,17,4,3123000,1456000
